,show_id,type,title,cast,country,date_added,release_year,rating,duration,listed_in,description,director
1591,80193475,TV Show,A Little Help with Carol Burnett,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson, Brittany Snow, Wanda Sykes, Derek Hough, Billy Eichner, Lisa Kudrow, Candace Cameron Bure, DJ Khaled, Tony Hale, Julie Bowen",United States,2018-05-04,2018,TV-G,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",
1312,80191109,Movie,Hickok,"Luke Hemsworth, Trace Adkins, Kris Kristofferson, Bruce Dern, Cameron Richardson, Kaiwi Lyman-Mersereau, Hunter Fischer, Robert Catrini, Britain Simons",United States,2017-11-14,2017,TV-MA,88 min,Action & Adventure,"While serving as the marshal of rowdy Abilene, Kansas, ""Wild Bill"" Hickok uses guns and gall to tidy up the lawless frontier town.",Timothy Woodward Jr.
3737,70213072,TV Show,Power Rangers Zeo,"Catherine Sutherland, Nakia Burrise, Steve Cardenas, Johnny Yong Bosch, Jason David Frank, David Yost, Austin St. John, Paul Schrier, Jason Narvy, Namihei Koshige, Danny Wayne, Akira Madden, David Stenstrom, Tadahiro Nakamura, Kerrigan Mahan","United States, France, Japan",2016-01-01,1996,TV-Y7-FV,1 Season,Kids' TV,"This ""Mighty Morphin Power Rangers"" spinoff finds Tommy and the gang battling new enemies, using abilities acquired from the Zeo Crystal.",
516,80211622,Movie,Been So Long,"Michaela Coel, Arinzé Kene, George MacKay, Ashley Thomas, Joe Dempsie, Ronke Adekoluejo, Luke Norris, Mya Lewis",,2018-10-26,2018,TV-MA,100 min,"Dramas, International Movies, Music & Musicals",A single mother in London's Camden Town hears music when she meets a handsome stranger with a past. But she's not sure she's ready to open her heart.,Tinge Krishnan
3272,70261978,TV Show,Frozen Planet,David Attenborough,"United Kingdom, United States, Spain, Germany, Greece, Canada",2016-01-28,2011,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",Go on a journey through the Arctic and Antarctic with this visually stunning program that explores these wildernesses and their inhabitants.,Alastair Fothergill
3896,80098490,Movie,Trash Fire,"Adrian Grenier, Angela Trimbur, AnnaLynne McCord, Fionnula Flanagan, Matthew Gray Gubler, Ray Santiago, Sally Kirkland, Ezra Buzzington",United States,2017-02-02,2016,R,94 min,"Comedies, Dramas, Independent Movies",Surprise news that his girlfriend is pregnant sends loutish Owen on an ill-advised trip to reconnect with his twisted sister and sadistic grandmother.,Richard Bates Jr.
5722,80115341,TV Show,Spy Kids: Mission Critical,"Ashley Bornancin, Carter Hastings, Caitlyn Bairstow, Nicholas Coombe, Nesta Cooper, Richard Ian Cox, Tom Kenny, Travis Turner, Candi Milo, Mira Sorvino","United States, Canada",2018-11-30,2018,TV-Y7-FV,2 Seasons,Kids' TV,"In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. – without the help of their super-spy parents.",
5145,80179433,Movie,Maz Jobrani: Immigrant,Maz Jobrani,,2017-08-01,2017,TV-MA,67 min,Stand-Up Comedy,"Iranian American comic Maz Jobrani lights up the Kennedy Center with riffs on immigrant life in the Trump era, modern parenting pitfalls and more.",Maz Jobrani
6047,81041002,TV Show,Z4,"Apollo Costa, Gabriel Santana, Matheus Lustosa, Pedro Rezende, Werner Schünemann, Manu Gavassi, Angela Dippe, Negra Li, Patrícia de Sabrit, César Pezzuoli, Carol Loback, Marina Brandão",Brazil,2019-02-22,2018,TV-PG,2 Seasons,Kids' TV,Fading music biz veteran Zé realizes he has just one more chance at redemption: He must assemble a hit boy band from a ragtag group of pop newbies.,
944,70286355,Movie,I'm in Love with a Church Girl,"Ja Rule, Adrienne Bailon, Stephen Baldwin, Vincent Pastore, Michael Madsen, T-Bone, Martin Kove, Toby Mac",United States,2017-10-01,2013,PG,119 min,"Dramas, Faith & Spirituality, Romantic Movies","When a tough-minded ex-drug dealer falls for a beautiful but highly devout woman, their mutual attraction takes them both down a twisty path.",Steve Race
2112,80195967,Movie,A.X.L.,"Alex Neustaedter, Becky G., Alex MacNicoll, Dominic Rains, Thomas Jane, Lou Taylor Pucci, Patricia De Leon, Niko Guardado, Ted McGinley, Marie-Françoise Theodore, Eric Etebari, Dorian Kingi",United States,2019-03-20,2018,PG,99 min,"Action & Adventure, Children & Family Movies, Independent Movies","Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit.",Oliver Daly
4318,80217475,TV Show,Murder Mountain,,United States,2018-12-28,2018,TV-MA,1 Season,"Crime TV Shows, Docuseries","In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",
4657,81024716,Movie,Faraar,"Kainaat Arora, Jaggi Singh, Gippy Grewal",Australia,2018-12-01,2015,TV-14,146 min,"Action & Adventure, Dramas, International Movies","When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence.",Baljit Singh Deo
5903,80046249,TV Show,Flaked,"Will Arnett, David Sullivan, Ruth Kearney, George Basil, Lina Esco, Travis Mills, Robert Wisdom, Mark Boone Junior, Matthew Willig, Heather Graham, Kirstie Alley, Sab Shimono, Christopher Mintz-Plasse, Minerva Garcia, Jeff Daniel Phillips",United States,2017-06-02,2017,TV-MA,2 Seasons,"TV Comedies, TV Dramas","In his funky California beach enclave, Chip's the go-to guy for personal insights. But he isn't quite as enlightened when it comes to his own baggage.",
4144,80177346,TV Show,Happy!,"Christopher Meloni, Lili Mirojnick, Glenn Wein, Patrick Fischler, Toby Jaffe, Ritchie Coster, Grant Morrison, Pavun Shetty, Medina Senghore, Patton Oswalt",United States,2018-12-06,2017,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",A boozy ex-cop turned hit man thinks he's losing his marbles when a cartoon unicorn only he can see urges him to rescue a girl kidnapped by Santa.,
1018,81016857,TV Show,Transfers,"Arieh Worthalter, Brune Renault, Toinette Laquiere, Steve Tientcheu, Pili Groyne, Patrick Descamps, Patrick Raynal, Juliette Plumecocq-Mech, Sébastien Chassagne, Alexis Loret, Aissatou Diop","France, Belgium",2018-11-08,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Sci-Fi & Fantasy","After a boating accident, woodworker and family man Florian wakes up in the body of an officer who leads a task force against illegal body transfers.",
3524,70131314,Movie,Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas","United States, United Kingdom",2020-01-01,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers","In this mind-bending sci-fi thriller, a man runs an espionage business built around entering the subconscious of his targets to mold their thoughts.",Christopher Nolan
3159,80171528,Movie,Tik Tok,"Wallace Chung, Jung-jae Lee, Lang Yueting, Chae-yeong Lee",China,2017-07-01,2016,TV-MA,108 min,"Dramas, International Movies, Thrillers",A police officer and a psychologist learn of a sinister threat at a highly anticipated soccer match and team up in hopes of preventing disaster.,Li Jun
5685,80050063,TV Show,The Seven Deadly Sins,"Yuki Kaji, Sora Amamiya, Misaki Kuno, Aoi Yuki, Tatsuhisa Suzuki, Jun Fukuyama, Mamoru Miyano, Maaya Sakamoto",Japan,2018-10-15,2018,TV-14,3 Seasons,"Anime Series, International TV Shows","When a kingdom is taken over by tyrants, the deposed princess begins a quest to find a disbanded group of evil knights to help take back her realm.",
4762,80050006,Movie,I'm Brent Morin,Brent Morin,United States,2019-08-06,2015,TV-MA,67 min,Stand-Up Comedy,"In a witty solo show, Brent Morin serves up infectious laughs on the agony of puberty, hot guy problems and the time a girl dumped him for a magician.",Lance Bangs
709,80158547,Movie,Singapore,"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen","India, Malaysia",2017-10-15,1960,TV-PG,158 min,"Comedies, Dramas, International Movies","When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",Shakti Samanta
4853,81036530,Movie,Drink Drank Drunk,"Carlos Chan, Ken Hung, Deep Ng, Michelle Wai, Yee Tong, Felix Lok, Kin-Yan Lee",Hong Kong,2019-08-24,2016,TV-MA,92 min,"Comedies, International Movies","Too hungover to report as a witness in a criminal trial the day after his birthday party, a young man and his pals do some unexpected soul-searching.",Yeung Yat-Tak
1289,81035103,Movie,Muzaffarnagar Baaqi Hai,,India,2018-11-15,2015,TV-MA,136 min,"Documentaries, International Movies","Through interviews with locals, this documentary investigates the triggers and outcomes of the 2013 communal riots in the heart of Uttar Pradesh.",Nakul Singh Sawhney
1505,80080145,Movie,Moor,"Hameed Sheikh, Samiya Mumtaz, Shaz Khan, Abdul Qadir, Shabbir Rana, Sultan Hussain, Ayaz Samoo, Nayyar Ejaz, Sonia Hussain","Pakistan, United States",2017-11-01,2015,TV-14,135 min,"Dramas, Independent Movies, International Movies","A railway stationmaster tries to cope with his wife's death, his estrangement from his son and the corrupt world in which he lives.",Jami
1893,70129415,Movie,HALO Legends,"Andy McAvin, James Faulkner, Luci Christian, John Swasey","United States, Japan",2017-05-01,2009,PG-13,117 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy","This anthology features seven independent anime shorts from renowned directors, delving into the futuristic universe of the video game franchise Halo.","Shinji Aramaki, Mamoru Oshii, Hideki Futamura, Toshiyuki Kanno, Tomoki Kyoda, Koichi Mashimo, Yasushi Muraki, Daisuke Nishio, Frank O'Connor, Koji Sawai, Joseph Chou, Hiroshi Yamazaki"
4481,80136440,Movie,Rats,,United States,2016-12-16,2016,NR,88 min,Documentaries,Explore the icky world of rats and witness how their talent for surviving in almost any environment has led to catastrophic events throughout history.,Morgan Spurlock
201,70124316,Movie,Five Elements Ninjas,"Tien-chi Cheng, Tien Hsiang Lung, Meng Lo, Michael Chan Wai-Man, Pei Hsi Chen, Li Wang, Ke Chu",Hong Kong,2019-09-17,1982,R,104 min,"Action & Adventure, International Movies","When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school, a lone survivor vows deadly revenge.",Cheh Chang
4774,80138681,Movie,Enter the Warriors Gate,"Jeff Daniels, Jack O'Connell, Michelle Dockery, Scoot McNairy, Merritt Wever, Thomas Brodie-Sangster, Francis Ng, Ni Ni","France, China, Canada",2017-08-05,2016,PG-13,105 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","An avid gamer is magically transported to ancient China, where he must become a warrior in order to save the princess from an evil warlord.",Matthias Hoene
1632,80992499,Movie,Si saben cómo me pongo ¿pá qué me invitan?,"Ricardo Quevedo, Iván Marín, Freddy Beltrán, Nelson Polanía, Fabiola Posada, Liss Pereira, Jessica Sanjuan, Lina Cardona",Colombia,2018-05-03,2018,TV-MA,89 min,"Comedies, International Movies","When four unhappy couples attend a spiritual retreat at a resort to try and solve their relationship troubles, shenanigans ensue.",Fernando Ayllón
2216,60021758,Movie,Asoka,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Rahul Dev, Hrishitaa Bhatt, Gerson Da Cunha, Subhashini Ali, Umesh Mehra, Sooraj Balaji",India,2017-03-15,2001,R,168 min,"Action & Adventure, Dramas, International Movies",This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.,Santosh Sivan
1785,80117736,Movie,Spivak,"Michael Bacall, Maggie Lawson, Elden Henson, Robert Kazinsky, Mark Webber, Chloe Wepper",United States,2018-05-12,2017,TV-MA,92 min,"Comedies, Independent Movies",Struggling writer Wally Spivak is stuck in a rut – until he meets an engaged couple and starts to see life in a whole new way.,"Anthony Abrams, Adam Larson Broder"
4133,81068687,Movie,No Game No Life: Zero,"Yoshitsugu Matsuoka, Ai Kayano, Yoko Hikasa, Yukari Tamura, Yuka Iguchi, Mamiko Noto, Miyuki Sawashiro, Rie Kugimiya, Toru Okawa, Kazuyuki Okitsu, Junichi Suwabe, Lynn, Yui Horie, Nanako Mori, Ryota Takeuchi",Japan,2019-12-06,2017,TV-14,106 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy","In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction.",Atsuko Ishizuka
3134,80158301,TV Show,46,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",Turkey,2017-07-01,2016,TV-14,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A genetics professor experiments with a treatment for his comatose sister that blends medical and shamanic cures, but unlocks a shocking side effect.",Serdar Akar
3249,81006825,Movie,All the Freckles in the World,"Hánssel Casillas, Loreto Peralta, Andrea Sutton, Luis De La Rosa, Alejandro Flores, Anajosé Aldrete, Daniel Haddad, Montserrat Marañón, Juan Carlos Viana Prieto, Hernán Del Riego",Mexico,2020-01-03,2020,TV-14,90 min,"Comedies, International Movies, Romantic Movies",Thirteen-year-old José Miguel is immune to 1994 World Cup fever until he realizes soccer is the only way to win the heart of his crush.,Yibrán Asuad
5311,80133552,Movie,Vir Das: Abroad Understanding,Vir Das,United States,2017-04-25,2017,TV-MA,66 min,Stand-Up Comedy,"Comedian Vir Das tackles nationalism, globalism, good food and bad politics in two cleverly crosscut performances in New York and New Delhi.",Marcus Raboy
2167,60029366,Movie,Howards End,"Anthony Hopkins, Vanessa Redgrave, Helena Bonham Carter, Emma Thompson, James Wilby, Samuel West, Jemma Redgrave, Joseph Bennett, Nicola Duffett, Susie Lindeman","United Kingdom, Japan, United States",2017-03-16,1992,PG,143 min,"Classic Movies, Dramas, Independent Movies","When a husband, acting in his family's ""best interest,"" does not accept his wife's deathbed wish, providence dictates that he pay for his duplicity.",James Ivory
4420,80107030,Movie,Jeremiah Tower: The Last Magnificent,"Jeremiah Tower, Anthony Bourdain, Mario Batali, Ruth Reichl","Mexico, United States",2017-12-20,2016,R,103 min,Documentaries,"This documentary profiles influential chef Jeremiah Tower, who played a pivotal role in the invention of a revolutionary new American cuisine.",Lydia Tenaglia
128,70304191,Movie,Swearnet: The Movie,"Mike Smith, John Paul Tremblay, Robb Wells, Patrick Roach, Mishael Morgan, Sarah Jurgens, Shannon Leroux, Dana Woods, Howard Jerome, Tom Green",Canada,2017-09-24,2014,NR,112 min,"Comedies, International Movies","After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences.",Warren P. Sonoda
3257,80237903,Movie,"Gabriel ""Fluffy"" Iglesias: One Show Fits All",Gabriel Iglesias,,2019-01-29,2019,TV-14,91 min,Stand-Up Comedy,"Gabriel ""Fluffy"" Iglesias discusses his teenage son and encounters with Snoop Dogg, Chris Rock and Vicente Fernández in this stand-up special for 2019.",Manny Rodriguez
713,80158391,Movie,Ujala,"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",India,2017-10-15,1959,TV-PG,143 min,"Dramas, International Movies","An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",Naresh Saigal
399,80173269,Movie,Who the F**k Is That Guy?,Michael Alago,United States,2017-09-01,2017,TV-MA,78 min,"Documentaries, LGBTQ Movies, Music & Musicals","Take a ride through the life of record exec Michael Alago, a gay Puerto Rican New Yorker who signed a slew of musical acts, including Metallica.",Drew Stone
2353,17969262,Movie,Khalnayak,"Sanjay Dutt, Madhuri Dixit, Jackie Shroff, Anupam Kher, Rakhee Gulzar, Pramod Moutho, Ramya Krishnan, Sushmita Mukherjee, Neena Gupta, A.K. Hangal",India,2018-03-01,1993,TV-14,170 min,"Action & Adventure, Dramas, International Movies",A prison guard goes undercover as a dancer to try and recapture an escaped criminal and restore her police inspector boyfriend's reputation.,Subhash Ghai
4024,81048910,Movie,LEGO Ninjago: Masters of Spinjitzu: Day of the Departed,,"Denmark, China",2019-02-01,2016,TV-Y7-FV,44 min,"Action & Adventure, Children & Family Movies",Cole finds himself trapped in Yang's temple after accidentally releasing a host of villainous spirits that the Ninja must defeat.,
3416,80119140,Movie,Hostage to the Devil,,"Ireland, United Kingdom, Italy, United States",2017-01-15,2016,TV-14,96 min,"Documentaries, International Movies","Follow the eerie story of Father Malachi Martin, a disenchanted priest whose belief in demonic possession would lead him to conduct several exorcisms.",Marty Stalker
3688,1065372,Movie,The Trigger Effect,"Kyle MacLachlan, Elisabeth Shue, Dermot Mulroney, Richard T. Jones, Bill Smitrovich, Michael Rooker, Tori Kristiansen, Tyra Kristiansen",United States,2018-01-01,1996,R,94 min,Thrillers,"When a power failure throws their suburban town into chaos, Matthew and his wife stoop to desperate measures to secure medication for their child.",David Koepp
2739,80158920,Movie,Lens,"Jayaprakash Radhakrishnan, Anand Sami, Aswathy Lal, Misha Ghoshal",India,2017-06-01,2015,TV-MA,109 min,"Dramas, Independent Movies, International Movies","Addicted to webcams and voyeurism, a married man gets more than he bargained for when an online stranger tries to force him to watch a suicide.",Jayaprakash Radhakrishnan
2067,81038046,Movie,Sei,"Nakhul, Aanchal Munjal, Nassar, Prakash Raj, Thalaivasal Vijay, Manobala, Jeyan Cherthala, Annadurai Kannadasan",India,2019-03-25,2018,TV-14,126 min,"Action & Adventure, Comedies, Dramas","An aspiring yet aimless actor takes over his ailing father's job as an ambulance driver, unwittingly getting involved in an organ-trafficking network.",Raj Babu
2863,80007777,Movie,Bang Rajan 2,"Puri Hiranyapluek, Paradorn Srichaphan, Chatchai Plengpanich",Thailand,2018-07-25,2010,TV-MA,122 min,"Action & Adventure, International Movies",A small but fierce group of resistance fighters engages in a brutal battle to protect their village from an army of Burmese invaders.,Tanit Jitnukul
3777,81049774,TV Show,Tayee,"Amr Youssef, Amr Abdel Guelil, Saba Mubarak",Egypt,2019-02-05,2018,TV-MA,1 Season,"International TV Shows, TV Dramas",An Egyptian doctor becomes a police informant and uses his rare gift of tracking ancient artifacts in the smuggling business.,
660,80208635,Movie,El Viaje: Márama y Rombai,,,2017-10-18,2016,TV-PG,79 min,"Children & Family Movies, Documentaries, International Movies",Popular South American bands Márama and Rombai share footage of behind-the-scenes antics and discuss their sudden rise to stardom.,Federico Lemos
1278,80158800,Movie,The 24 Hour War,,United States,2019-11-15,2016,TV-14,100 min,"Documentaries, Sports Movies",An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history.,"Nate Adams, Adam Carolla"
1151,60023606,Movie,K-19: The Widowmaker,"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter","United Kingdom, Germany, Canada, United States",2019-11-21,2002,PG-13,138 min,"Action & Adventure, Dramas","On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.",Kathryn Bigelow
5738,80128275,TV Show,Mystery Science Theater 3000: The Return,"Felicia Day, Patton Oswalt, Jonah Ray, Baron Vaughn, Hampton Yount",United States,2018-11-22,2018,TV-14,2 Seasons,"TV Comedies, TV Sci-Fi & Fantasy","The cult hit returns! Captured by mad scientists, new host Jonah survives a blitz of cheesy B movies by riffing on them with his funny robot pals.",
1070,81021528,Movie,The World Is Yours,"Isabelle Adjani, Karim Leklou, François Damiens, Vincent Cassel, Oulaya Amamra",France,2018-11-30,2018,TV-MA,101 min,"Action & Adventure, Comedies, International Movies","To escape his life of crime, a Paris drug dealer takes on one last job involving Spain, unhinged gangsters, his longtime crush and his scheming mother.",Romain Gavras
4738,80177986,TV Show,Let’s Eat,"Lee Soo-kyung, Yoon Du-jun, Yoon So-hui, Shim Hyoung-tak, Do-yeon Lee, Jang Won-young, Jung Soo-young",South Korea,2019-08-08,2013,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","With the help of her neighbors, a divorced woman residing in a one-person-household apartment complex learns to balance living alone and eating well.",
6160,70143836,TV Show,Breaking Bad,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",United States,2013-08-02,2013,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers",A high school chemistry teacher dying of cancer teams with a former student to secure his family's future by manufacturing and selling crystal meth.,
3402,80158543,Movie,Alibaba Aur 40 Chor,"Dharmendra, Hema Malini, Zeenat Aman, Rolan Bykov, Prem Chopra, Yakub Akhmedov, Madan Puri, Sofiko Chiaureli","Soviet Union, India",2018-01-15,1980,TV-PG,147 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",A simple village man is thrown into a web of political intrigue after he takes on a powerful and ruthless gang of bandits.,"Latif Faiziyev, Umesh Mehra"
896,80032477,Movie,Naughty Jatts,"Neeru Bajwa, Binnu Dhillon, Arya Babbar, Roshan Prince, B.N. Sharma, Karamjit Anmol, Harby Sangha",India,2018-10-01,2013,TV-PG,121 min,"Comedies, International Movies, Music & Musicals","When three different boys propose to a lively, strictly reared girl who yearns to be a performer, she agrees to marry the winner of a singing contest.",Pankaj Batra
5464,81021447,Movie,The Silence,"Stanley Tucci, Kiernan Shipka, Miranda Otto, Kate Trotter, John Corbett, Kyle Breitkopf, Dempsey Bryk, Billy MacLellan",Germany,2019-04-10,2019,TV-14,91 min,"Horror Movies, Thrillers","With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",John R. Leonetti
3686,80186459,TV Show,The Frozen Dead,"Charles Berling, Julia Piaton, Pascal Greggory, Nina Meurisse, Lubna Azabal, Anne Le Ny, Robinson Stévenin, Robert Plagnol, Sophie Guillemin",France,2018-01-01,2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller.,
3352,81127902,Movie,A Fall from Grace,"Crystal Fox, Phylicia Rashad, Cicely Tyson, Bresha Webb, Mehcad Brooks, Adrian Pasdar, Tyler Perry",,2020-01-17,2020,TV-MA,121 min,"Dramas, Thrillers","When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.",Tyler Perry
323,81165770,Movie,The CEO,"Wale Ojo, Jimmy Jean-Louis, Hilda Dokubo, Nico Panagio, Aurélie Eliam, Peter King Nzioki Mwania, Fatym Layachi, Kemi Lala Akindoju, Angélique Kidjo",Nigeria,2019-09-01,2016,TV-14,109 min,"Dramas, International Movies, Thrillers",A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive.,Kunle Afolayan
3151,80157457,TV Show,Mystic Whispers,"Romeo Tan, Sheila Sim, Yuan Shuai, Aloysius Pang",,2017-07-01,2014,TV-14,1 Season,"International TV Shows, TV Dramas, TV Horror","After a car accident enables a young woman to hear mysterious sounds, she meets a mortician. Together, they listen to ghosts and try to help them.",
3110,81002211,Movie,My Birthday Song,"Sanjay Suri, Nora Fatehi, Zenia Starr, Suparna Krishna, Elena Kazan",India,2018-07-01,2018,TV-14,92 min,"Dramas, International Movies, Thrillers","After a wild night of impulse and infidelity, advertising executive Rajiv Kaul must navigate the blurred lines between life, death, fact and fiction.",Samir Soni
4809,80209658,Movie,Unbridled,"Natalia de Molina, Daniel Grao, Natalia Mateo, Ignacio Mateos, Borja Luna, Mario Tardón, Mariana Cordero",Spain,2019-08-30,2018,TV-MA,100 min,"International Movies, Thrillers","Desperate to keep her husband’s secret, a devoted politician’s wife struggles to stave off threats that could ruin their promising new life.",Jota Linares
1821,81094083,Movie,Kia and Cosmos,"Ritwika Pal, Swastika Mukherjee, Joy Sengupta",India,2019-05-01,2018,TV-14,124 min,"Dramas, Independent Movies, International Movies",A 15-year-old girl with autism attempts to write a mystery novel based on her hunt for the killer of a neighborhood cat.,Sudipto Roy
2144,81019338,Movie,All About Nina,"Mary Elizabeth Winstead, Common, Kate del Castillo, Chace Crawford, Jay Mohr, Beau Bridges, Clea DuVall, Melonie Diaz, Camryn Manheim, Mindy Sterling, Angelique Cabral, Nicole Byer, Todd Louiso, Elizabeth Masucci, Sonoya Mizuno, Charlotte Newhouse, Victor Rasuk, Andree Vermeulen",United States,2019-03-18,2018,R,101 min,"Comedies, Dramas, Independent Movies","Fearless provocation has fueled stand-up comic Nina Geld's career, but a move to LA and a new love take her to new levels of honesty.",Eva Vives
1677,80131167,Movie,Elizabeth at 90: A Family Tribute,,United Kingdom,2017-05-22,2016,TV-G,90 min,Documentaries,A blend of the royal family's intimate recollections and rarely seen home movies pays tribute to Queen Elizabeth II on the eve of her 90th birthday.,John Bridcut
1351,80216003,Movie,Apache Warrior,,United States,2019-11-01,2017,TV-MA,89 min,Documentaries,Recovered cockpit footage and telling interviews reveal the true stories of US fighter pilots in one of the largest combat strikes in history.,"David Salzberg, Christian Tureaud"
1236,80079470,Movie,Naomi and Ely's No Kiss List,"Victoria Justice, Pierson Fode, Matthew Daddario, Ryan Ward, Griffin Newman, Monique Coleman, Danny Flaherty",United States,2015-11-18,2015,NR,91 min,"Comedies, Dramas, LGBTQ Movies","Naomi and her gay best friend, Ely, have been inseparable since childhood, but their bond faces its biggest test yet when they fall for the same guy.",Kristin Hanggi
1573,80116761,Movie,City of God: 10 Years Later,,Brazil,2018-05-07,2013,TV-MA,69 min,"Documentaries, International Movies","A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took.","Cavi Borges, Luciano Vidigal"
6223,70204989,TV Show,Gunslinger Girl,"Yuuka Nanri, Kanako Mitsuhashi, Eri Sendai, Ami Koshimizu, Hidenobu Kiuchi, Mitsuru Miyamoto, Masashi Ebara, Norihiro Inoue, Rie Nakagawa, Masami Iwasaki, Laura Bailey, Luci Christian, Caitlin Glass, Alese Johnson, Monica Rial, Jerry Jewell, Stephanie Young, Mike McFarland",Japan,,2008,TV-14,2 Seasons,"Anime Series, Crime TV Shows","On the surface, the Social Welfare Agency appears to help orphaned schoolgirls, but it's actually turning them into lethal agents.",
4365,81104634,Movie,John Mulaney & The Sack Lunch Bunch,"John Mulaney, Alexander Bello, Tyler Bourke, Ava Briglia, Cordelia Comando, Camille De La Cruz, Oriah Elgrabli, Jake Ryan Flynn, Orson Hong, Isabella Iannelli, Jacob Laval, Suri Marrero, Zell Steele Morrow, Jonah Mussolino, Lexi Perkel, Linder Sutton",United States,2019-12-24,2019,TV-PG,70 min,"Children & Family Movies, Comedies","John Mulaney and his kid pals tackle existential topics for all ages with catchy songs, comedy sketches and special guests in a nostalgic variety special.",Rhys Thomas
2313,80200047,Movie,The Boy Who Harnessed the Wind,"Maxwell Simba, Chiwetel Ejiofor, Aïssa Maïga, Lily Banda, Lemogang Tsipa, Philbert Falakeza, Joseph Marcell, Noma Dumezweni","United Kingdom, Malawi",2019-03-01,2019,TV-14,114 min,"Children & Family Movies, Dramas, Independent Movies","Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story.",Chiwetel Ejiofor
5272,80164864,Movie,Candy Jar,"Christina Hendricks, Helen Hunt, Uzo Aduba, Sami Gayle, Jacob Latimore",United States,2018-04-27,2018,TV-14,93 min,"Children & Family Movies, Dramas, Romantic Movies",Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.,Ben Shelton
5824,80239796,TV Show,Club Friday The Series 6,"Puttichai Kasetsin, Kongtoranin Lalana, Preechaya Pongthananikorn",,2019-03-09,2015,TV-14,9 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas","Based on a Thai radio show that gives love advice to callers, this series dramatizes stories of infidelity, love triangles, sexual identity and more.",
